attribute_id,date
a16,1888-10
a17,Quaternary
a18,Oligocene
a18,Aquitanian stage
a23,Quaternary
a24,Quaternary
a25,Quaternary
a38,Since 1826
a47,annually
a48,annually
a55,annually
a56,annually
a57,annually
a58,Winter
a59,Winter
a60,summer
a61,summer
a62,Autumn
a80,1900
a81,1901
a82,1901
a83,1901
a84,1901
a85,1901
a86,1901
a87,1901
a88,1901
a93,1817
a94,1829
a95,1853
a96,1882
a97,1898
a110,1815
a111,1901
a114,1896
a115,1902
a116,1901
a117,1900
a120,1901
a121,1901
a122,1901
a123,1901
a132,1901
a141,1901
a142,1901
a143,1901
a144,1901
a145,1901
a146,1901
a147,1901
a148,1901
a149,1901
a150,1901
a151,1901
a152,1901
a153,1901
a154,1901
a155,1901
