attribute_id,place
Zurich_a1,"Zurichberg, Zurich, Switzerland"
Zurich_a2,"Zurichberg, Zurich, Switzerland"
Zurich_a3,"Zurichberg, Zurich, Switzerland"
Zurich_a4,lake
Zurich_a5,"Limmat River, Switzerland"
Zurich_a5,"Hoengg, Zurich, Switzerland"
Zurich_a5,"Zurich, Switzerland"
Zurich_a6,"Limmat River, Switzerland"
Zurich_a6,"Hoengg, Zurich, Switzerland"
Zurich_a6,"Zurich, Switzerland"
Zurich_a7,"Limmat River, Switzerland"
Zurich_a7,"Hoengg, Zurich, Switzerland"
Zurich_a7,"Zurich, Switzerland"
Zurich_a8,"Uetliberg, Zurich, Switzerland"
Zurich_a8,"Zurich, Switzerland"
Zurich_a9,"Zurich, Switzerland"
Zurich_a10,"Quaibrücke, Zurich, Switzerland"
Zurich_a11,"Grossmünster, Zurich, Switzerland"
Zurich_a12,town hall
Zurich_a13,town hall
Zurich_a14,"Zurich, Switzerland"
Zurich_a15,"Liebfrauenkirche, Zurich, Switzerland"
Zurich_a16,Münsterbrücke
Zurich_a16,"Walenstadt, Switzerland"
Zurich_a17,Münsterbrücke
Zurich_a17,"Gotthard Pass, Switzerland"
Zurich_a17,"Mellingen, Switzerland"
Zurich_a18,"Zurich, Switzerland"
Zurich_a19,"Zurich, Switzerland"
Zurich_a20,"Zurich, Switzerland"
Zurich_a21,"Fraumünster, Zurich, Switzerland"
Zurich_a22,"Alpenquai, Zurich, Switzerland"
Zurich_a23,"Linth Glacier, Switzerland"
Zurich_a23,"Walensee, Switzerland"
Zurich_a23,"Glärnisch, Switzerland"
Zurich_a24,"Sihl River, Zurich, Switzerland"
Zurich_a24,"Zimmerberg, Zurich, Switzerland"
Zurich_a24,"Albis chain, Zurich, Switzerland"
Zurich_a24,"Waffenplatz, Zurich, Switzerland"
Zurich_a24,"Limmat River, Zurich, Switzerland"
Zurich_a25,University
Zurich_a26,new cantonal school building
Zurich_a27,music conservatory in Florhofgasse
Zurich_a28,"Zurich, Switzerland"
Zurich_a29,"Zurich, Switzerland"
Zurich_a30,"Zurich, Switzerland"
Zurich_a31,"Zurich, Switzerland"
Zurich_a32,botanical garden
Zurich_a33,botanical garden
Zurich_a33,"Canton of Zurich, Switzerland"
Zurich_a34,botanical garden
Zurich_a35,"Selnau, Zurich, Switzerland"
Zurich_a35,"Uetliberg, Zurich, Switzerland"
Zurich_a35,"Sihl Valley Railway Station, Zurich, Switzerland"
Zurich_a36,"Zurich, Switzerland"
Zurich_a37,"Zurich, Switzerland"
Zurich_a38,"Zurich, Switzerland"
Zurich_a39,"Zurich, Switzerland"
Zurich_a40,"Zurich, Switzerland"
Zurich_a41,"Zurich, Switzerland"
Zurich_a42,resident population
Zurich_a43,District I
Zurich_a44,District I
Zurich_a45,District I
Zurich_a48,"Zurich, Switzerland"
Zurich_a49,"Zurich, Switzerland"
Zurich_a50,"Zurich, Switzerland"
Zurich_a51,"Zurich, Switzerland"
Zurich_a52,"Zurich, Switzerland"
Zurich_a53,"Zurich, Switzerland"
Zurich_a54,"Zurich, Switzerland"
Zurich_a55,lake
Zurich_a56,lake
Zurich_a56,"Limmat River, Switzerland"
Zurich_a57,"Limmat River, Switzerland"
Zurich_a57,"Schanzengraben, Zurich, Switzerland"
Zurich_a58,lake
Zurich_a59,lake
Zurich_a60,lake
Zurich_a61,the lake
Zurich_a63,city alleys
Zurich_a64,"Zurich, Switzerland"
Zurich_a65,"Zurich, Switzerland"
Zurich_a66,"Zurich, Switzerland"
Zurich_a67,"Zurich, Switzerland"
Zurich_a68,"Zurich, Switzerland"
