attribute_id,type
Zurich_a1,coordinates
Zurich_a2,other
Zurich_a3,elevation
Zurich_a4,lake_level
Zurich_a5,elevation
Zurich_a6,length
Zurich_a7,gradient
Zurich_a8,elevation
Zurich_a9,area
Zurich_a10,length
Zurich_a11,other
Zurich_a12,other
Zurich_a13,other
Zurich_a14,other
Zurich_a15,other
Zurich_a16,other
Zurich_a17,other
Zurich_a18,other
Zurich_a19,other
Zurich_a20,other
Zurich_a21,other
Zurich_a22,other
Zurich_a23,other
Zurich_a24,other
Zurich_a25,other
Zurich_a26,other
Zurich_a27,other
Zurich_a28,other
Zurich_a29,area
Zurich_a30,other
Zurich_a31,other
Zurich_a32,other
Zurich_a33,other
Zurich_a34,other
Zurich_a35,other
Zurich_a36,population_count
Zurich_a37,population_count
Zurich_a38,population_count
Zurich_a39,population_count
Zurich_a40,population_count
Zurich_a41,population_density
Zurich_a42,population_count
Zurich_a43,population_count
Zurich_a44,population_count
Zurich_a45,population_count
Zurich_a46,population_count
Zurich_a47,population_count
Zurich_a48,population_density
Zurich_a49,population_density
Zurich_a50,growth_rate
Zurich_a51,population_density
Zurich_a52,other
Zurich_a53,other
Zurich_a54,population_count
Zurich_a55,lake_level
Zurich_a56,lake_level
Zurich_a57,other
Zurich_a58,area
Zurich_a59,other
Zurich_a60,area
Zurich_a61,temperature
Zurich_a62,area
Zurich_a63,other
Zurich_a64,other
Zurich_a65,other
Zurich_a66,other
Zurich_a67,other
Zurich_a68,other
Zurich_a69,other
Zurich_a70,population_count
Zurich_a71,population_count
Zurich_a72,population_density
Zurich_a73,other
Zurich_a74,other
Zurich_a75,other
Zurich_a76,other
Zurich_a77,other
Zurich_a78,other
Zurich_a79,other
Zurich_a80,other
Zurich_a81,other
Zurich_a82,other
Zurich_a83,other
Zurich_a84,other
Zurich_a85,other
Zurich_a86,population_count
Zurich_a87,population_count
Zurich_a88,other
Zurich_a89,other
Zurich_a90,length
Zurich_a91,other
Zurich_a92,other
Zurich_a93,other
Zurich_a94,other
Zurich_a95,other
Zurich_a96,elevation
Zurich_a97,depth
Zurich_a98,other
Zurich_a99,other
Zurich_a100,other
Zurich_a101,other
Zurich_a102,other
Zurich_a103,population_count
Zurich_a104,population_count
Zurich_a105,other
Zurich_a106,elevation
Zurich_a107,precipitation
Zurich_a108,length
Zurich_a109,length
Zurich_a110,length
Zurich_a111,elevation
Zurich_a112,other
Zurich_a113,temperature
Zurich_a114,other
Zurich_a115,other
Zurich_a116,other
Zurich_a117,other
Zurich_a118,other
Zurich_a119,other
Zurich_a120,other
Zurich_a121,other
Zurich_a122,length
Zurich_a123,length
Zurich_a124,length
Zurich_a125,population_count
Zurich_a126,population_count
Zurich_a127,growth_rate
Zurich_a128,growth_rate
Zurich_a129,growth_rate
Zurich_a130,other
Zurich_a131,length
Zurich_a132,length
Zurich_a133,length
Zurich_a134,other
Zurich_a135,other
Zurich_a136,other
Zurich_a137,growth_rate
Zurich_a138,other
Zurich_a139,other
Zurich_a140,other
Zurich_a141,other
Zurich_a142,other
Zurich_a143,other
Zurich_a144,population_count
Zurich_a145,population_count
Zurich_a146,population_count
Zurich_a147,other
Zurich_a148,other
Zurich_a149,other
Zurich_a150,other
Zurich_a151,other
Zurich_a152,other
Zurich_a153,other
Zurich_a154,other
Zurich_a155,other
Zurich_a156,other
Zurich_a157,other
Zurich_a158,other
Zurich_a159,other
Zurich_a160,other
Zurich_a161,other
Zurich_a162,other
Zurich_a163,other
Zurich_a164,other
Zurich_a165,other
Zurich_a166,other
Zurich_a167,other
Zurich_a168,other
Zurich_a169,other
Zurich_a170,other
Zurich_a171,other
Zurich_a172,other
Zurich_a173,other
Zurich_a174,other
Zurich_a175,other
Zurich_a176,other
Zurich_a177,other
Zurich_a178,other
Zurich_a179,other
Zurich_a180,other
Zurich_a181,other
Zurich_a182,other
Zurich_a183,other
Zurich_a184,other
Zurich_a185,other
Zurich_a186,other
Zurich_a187,other
Zurich_a188,other
Zurich_a189,other
Zurich_a190,other
Zurich_a191,other
Zurich_a192,other
Zurich_a193,other
Zurich_a194,other
Zurich_a195,other
Zurich_a196,other
Zurich_a197,other
Zurich_a198,other
Zurich_a199,other
Zurich_a200,other
Zurich_a201,other
Zurich_a202,other
Zurich_a203,other
Zurich_a204,other
Zurich_a205,population_count
Zurich_a206,population_count
Zurich_a207,other
Zurich_a208,other
Zurich_a209,other
Zurich_a210,other
Zurich_a211,other
Zurich_a212,elevation
Zurich_a213,elevation
Zurich_a214,elevation
Zurich_a215,elevation
Zurich_a216,other
Zurich_a217,population_count
Zurich_a218,population_count
Zurich_a219,population_count
Zurich_a220,population_count
Zurich_a221,population_count
Zurich_a222,population_count
Zurich_a223,population_count
Zurich_a224,population_count
Zurich_a225,population_count
Zurich_a226,population_count
Zurich_a227,population_count
Zurich_a228,population_count
Zurich_a229,population_count
Zurich_a230,population_count
Zurich_a231,population_count
Zurich_a232,population_count
Zurich_a233,population_count
Zurich_a234,population_count
Zurich_a235,population_count
Zurich_a236,population_count
Zurich_a237,population_count
Zurich_a238,population_count
Zurich_a239,population_count
Zurich_a240,population_count
Zurich_a241,other
Zurich_a242,other
Zurich_a243,other
Zurich_a244,other
Zurich_a245,other
Zurich_a246,other
Zurich_a247,other
Zurich_a248,other
Zurich_a249,other
Zurich_a250,other
Zurich_a251,other
Zurich_a252,other
Zurich_a253,other
Zurich_a254,other
Zurich_a255,other
Zurich_a256,other
Zurich_a257,population_count
Zurich_a258,other
Zurich_a259,other
Zurich_a260,other
Zurich_a261,population_count
Zurich_a262,population_count
Zurich_a263,population_count
Zurich_a264,population_count
Zurich_a265,population_count
