child,parent
1888-10,1801-1900
1888-10,1888
1838-01-15,1801-1900
1838-01-15,1838
1838-01-15,1838-01
1870-07-06,1801-1900
1870-07-06,1870
1870-07-06,1870-07
1882-01-17,1801-1900
1882-01-17,1882
1882-01-17,1882-01
1836-12-26,1801-1900
1836-12-26,1836
1836-12-26,1836-12
1847,1801-1900
1901,1901-2000
1896,1801-1900
1900,1801-1900
1901,1901-2000
1817,1801-1900
1829,1801-1900
1853,1801-1900
1882,1801-1900
1898,1801-1900
1898,1801-1900
1899,1801-1900
1776,1701-1800
1900,1801-1900
1899,1801-1900
1888,1801-1900
1901,1901-2000
1901,1901-2000
1815,1801-1900
1901,1901-2000
1901,1901-2000
1901,1901-2000
1587,1501-1600
1789,1701-1800
1899,1801-1900
1888,1801-1900
1896,1801-1900
1902,1901-2000
1902,1901-2000
1899,1801-1900
1900,1801-1900
1901,1901-2000
1901,1901-2000
1899,1801-1900
1865,1801-1900
1888,1801-1900
1814,1801-1900
1860,1801-1900
1900,1801-1900
1887,1801-1900
1847-05-24,1801-1900
1847-05-24,1847
1847-05-24,1847-05
1846-10-06,1801-1900
1846-10-06,1846
1846-10-06,1846-10
1847,1801-1900
1899,1801-1900
1892-07-06,1801-1900
1892-07-06,1892
1892-07-06,1892-07
1891-06-15,1801-1900
1891-06-15,1891
1891-06-15,1891-06
1897-01-23,1801-1900
1897-01-23,1897
1897-01-23,1897-01
1901,1901-2000
1902,1901-2000
1901,1901-2000
1847,1801-1900
1893,1801-1900
1559,1501-1600
1871,1801-1900
1894,1801-1900
1901,1901-2000
1900,1801-1900
1900,1801-1900
1900,1801-1900
1901,1901-2000
1868,1801-1900
1901,1901-2000
1901,1901-2000
1901,1901-2000
1901,1901-2000
1901,1901-2000
1881,1801-1900
-120,-199--100
456,401-500
888,801-900
1017,1001-1100
1533,1501-1600
1417,1401-1500
1519-02-06,1501-1600
1519-02-06,1519
1519-02-06,1519-02
1526-02-25,1501-1600
1526-02-25,1526
1526-02-25,1526-02
1530-10-19,1501-1600
1530-10-19,1530
1530-10-19,1530-10
1530-12-03,1501-1600
1530-12-03,1530
1530-12-03,1530-12
1535,1501-1600
1536,1501-1600
1541,1501-1600
1564,1501-1600
1602-12-21,1601-1700
1602-12-21,1602
1602-12-21,1602-12
1603-07-21,1601-1700
1603-07-21,1603
1603-07-21,1603-07
1738,1701-1800
1763,1701-1800
1768,1701-1800
1782,1701-1800
1794-02-05,1701-1800
1794-02-05,1794
1794-02-05,1794-02
1798,1701-1800
1813-12-30,1801-1900
1813-12-30,1813
1813-12-30,1813-12
1814-01-01,1801-1900
1814-01-01,1814
1814-01-01,1814-01
1814,1801-1900
1814-06-01,1801-1900
1814-06-01,1814
1814-06-01,1814-06
1814-09-12,1801-1900
1814-09-12,1814
1814-09-12,1814-09
1815,1801-1900
1816,1801-1900
1536,1501-1600
1827,1801-1900
1843-02-13,1801-1900
1843-02-13,1843
1843-02-13,1843-02
1846,1801-1900
1846-10-06,1801-1900
1846-10-06,1846
1846-10-06,1846-10
1846-10-07,1801-1900
1846-10-07,1846
1846-10-07,1846-10
1847-05-24,1801-1900
1847-05-24,1847
1847-05-24,1847-05
1864,1801-1900
1864-08-22,1801-1900
1864-08-22,1864
1864-08-22,1864-08
1870,1801-1900
1902-10,1901-2000
1902-10,1902
