key,granularity
1888-10,month
Ice Age,timespan
Quaternary,timespan
Oligocene,timespan
Aquitanian stage,timespan
Quaternary period,timespan
end of the Ice Age,timespan
historic times,timespan
lower Tertiary,timespan
1826–1895,timespan
1838-01-15,day
1870-07-06,day
January 15,unknown
July 20–21,unknown
last 50 years,unknown
1882-01-17,day
1836-12-26,day
Since 1826,timespan
annually,unknown
per year,unknown
June and July,unknown
December and February,unknown
since 1819,timespan
Winter,unknown
Spring,unknown
summer,unknown
Autumn,unknown
October to February,timespan
1829,year
1776,year
September 1,unknown
October 1,unknown
December 15,unknown
spring,unknown
Since 1881,timespan
second half of the century,timespan
1860s and 70s,timespan
around 1900,timespan
mid-19th century,timespan
1587,year
1789,year
July to September,unknown
January and February,unknown
1847-05-24,day
1846-10-06,day
1892-07-06,day
3-year terms,unknown
1891-06-15,day
1897-01-23,day
every 4 years,unknown
every 5 years,unknown
Since 1895,timespan
Before 1884,unknown
1885-1894,timespan
October to April,unknown
every three years,unknown
since 1881,timespan
-200--101,century
-120,year
456,year
516–524,timespan
until 536,unknown
888,year
1017,year
1417,year
16th century start,timespan
1519-02-06,day
1530-10-19,day
1530-12-03,day
1541,year
1564,year
1602-12-21,day
December 11-12,unknown
1603-07-21,day
early 18th century (1707),timespan
1738,year
next 25 years,timespan
1768,year
1794-02-05,day
1813-12-30,day
1814-01-01,day
1814-06-01,day
1814-09-12,day
1827,year
Between 1840 and 1843,timespan
1843-02-13,day
1846-10-07,day
1864-08-22,day
1902-10,month
