entity_id,name,entity_type
GPE_zurich,Zurich,GPE
ORG_oerlikon,Oerlikon,ORG
GPE_albisrieden,Albisrieden,GPE
PERSON_schlieren,Schlieren,PERSON
GPE_schlieren,Schlieren,GPE
ORG_dietikon,Dietikon,ORG
PERSON_chur,Chur,PERSON
PERSON_arlberg,Arlberg,PERSON
GPE_baden,Baden,GPE
GPE_switzerland,Switzerland,GPE
GPE_basel,Basel,GPE
NORP_affoltern,Affoltern,NORP
PERSON_schaffhausen,Schaffhausen,PERSON
PERSON_romanshorn,Romanshorn,PERSON
GPE_st_gallen,St. Gallen,GPE
PERSON_glatt,Glatt,PERSON
ORG_the_sihl_valley_railway,the Sihl Valley Railway,ORG
LOC_limmat_valley,Limmat Valley,LOC
ORG_weiningen,Weiningen,ORG
ORG_zurich_hoengg,Zurich-Hoengg,ORG
ORG_zurich_oerlikon_seebach,Zurich-Oerlikon-Seebach,ORG
PERSON_uetliberg,Uetliberg,PERSON
GPE_district_zurich,District Zurich,GPE
GPE_canton,Canton,GPE
PERSON_zurichberg,Zurichberg,PERSON
GPE_greenwich,Greenwich,GPE
DATE_1908,1908,DATE
DATE_11½,11½,DATE
ORG_limmat,Limmat,ORG
ORG_hoengg,Hoengg,ORG
PERSON_leimbach,Leimbach,PERSON
PERSON_sihl,Sihl,PERSON
GPE_etlisberg,Etlisberg,GPE
GPE_wollishofen,Wollishofen,GPE
GPE_mönchhof,Mönchhof,GPE
LOC_burghölzli,Burghölzli,LOC
PERSON_realp,Realp,PERSON
PERSON_elefantenbach,Elefantenbach,PERSON
PERSON_loorenkopf,Loorenkopf,PERSON
PERSON_käferberg,Käferberg,PERSON
PERSON_milchbuck,Milchbuck,PERSON
PERSON_hardturm,Hardturm,PERSON
PERSON_hoengger,Hoengger,PERSON
GPE_döltschi,Döltschi,GPE
PERSON_uto,Uto,PERSON
FAC_the_hotel_uetliberg,the Hotel Uetliberg,FAC
GPE_zurichberg,Zurichberg,GPE
DATE_1893,1893,DATE
ORG_wollishofen_enge,"Wollishofen, Enge",ORG
GPE_wiedikon,Wiedikon,GPE
PERSON_aussersihl,Aussersihl,PERSON
PERSON_wipkingen,Wipkingen,PERSON
ORG_unterstrass,Unterstrass,ORG
GPE_hottingen,Hottingen,GPE
GPE_hirslanden,Hirslanden,GPE
PERSON_riesbach,Riesbach,PERSON
DATE_a_mild_summer,a mild summer,DATE
GPE_zurichhorn,Zurichhorn,GPE
PERSON_hornbach,Hornbach,PERSON
PERSON_belvoirpark,Belvoirpark,PERSON
ORG_enge,Enge,ORG
PERSON_hirslanderberg,Hirslanderberg,PERSON
PRODUCT_rigiquartier,Rigiquartier,PRODUCT
GPE_uetliberg,Uetliberg,GPE
PRODUCT_grossmünster,Grossmünster,PRODUCT
ORG_fraumünster,Fraumünster,ORG
NORP_viennese,Viennese,NORP
GPE_tonhalle,Tonhalle,GPE
ORG_the_red_and_white_castles,the Red and White Castles,ORG
PERSON_rentenanstalt,Rentenanstalt,PERSON
