event_id,date
e39,Ice Age
e51,Quaternary period
e52,end of the Ice Age
e53,historic times
e54,Quaternary
e55,Quaternary
e56,Quaternary
e57,lower Tertiary
e57,Aquitanian stage
e58,lower Tertiary
e68,1826–1895
e68,1838-01-15
e68,1870-07-06
e69,January 15
e69,July 20–21
e70,last 50 years
e70,1882-01-17
e70,1836-12-26
e71,per year
e71,June and July
e71,December and February
e74,since 1819
e77,annually
e78,annually
e79,annually
e80,Winter
e81,Spring
e82,summer
e83,Autumn
e83,Winter
e84,October to February
e99,1847
e104,1901
e107,1896
e107,1900
e107,1901
e108,1901
e110,1801-1900
e111,1801-1900
e114,1898
e116,1776
e133,1900
e134,1900
e136,September 1
e137,October 1
e138,December 15
e139,spring
e143,Since 1881
e145,1899
e147,1888
e147,1901
e149,1901
e157,1801-1900
e158,1815
e158,1901
e158,second half of the century
e159,1801-1900
e160,1801-1900
e161,1860s and 70s
e162,around 1900
e163,around 1900
e165,mid-19th century
e166,1901
e167,1901
e170,1901
e171,1901
e172,1901
e173,1901
e174,1587
e175,1789
e181,1899
e183,1888
e183,1896
e183,1902
e188,1902
e189,1902
e191,1899
e191,1900
e191,1901
e193,July to September
e194,January and February
e195,301-400
e197,1301-1400
e200,1901
e201,1899
e202,1899
e203,1865
e204,1888
e206,1814
e207,1860
e218,1887
e228,1847-05-24
e228,1846-10-06
e229,1847-05-24
e230,1847
e233,1899
e234,1899
e235,1899
e236,1899
e240,1892-07-06
e242,3-year terms
e247,1891-06-15
e247,1897-01-23
e258,every 4 years
e272,1901
e273,1901
e274,1902
e276,every 5 years
e277,every 5 years
e283,1401-1500
e284,1401-1500
e288,1847
e292,Since 1895
e297,1893
e300,1559
e301,1871
e307,Before 1884
e312,1894
e315,October to April
e317,1901
e318,1900
e325,1900
e328,1900
e329,1900
e330,1901
e331,1901
e341,1868
e342,every three years
e352,1901
e355,1901
e364,1901
e365,1901
e372,since 1881
e373,1881
e375,-200--101
e376,-120
e377,-58
e380,456
e381,456
e382,516–524
e382,until 536
e383,until 536
e384,888
e387,1017
e387,1533
e390,1417
e392,16th century start
e393,1519-02-06
e394,1526-02-25
e397,1530-10-19
e398,1530-12-03
e399,1535
e401,1536
e402,1536
e404,1541
e408,1564
e411,1602-12-21
e412,December 11-12
e413,1603-07-21
e414,1601-1700
e415,early 18th century (1707)
e417,1738
e418,next 25 years
e419,1763
e420,1768
e421,1782
e422,1782
e424,1794-02-05
e425,1798
e426,1798
e428,1813-12-30
e429,1814-01-01
e432,1814
e433,1814
e434,1814-06-01
e435,1814-09-12
e436,1815
e436,1816
e438,1536
e441,1827
e443,Between 1840 and 1843
e443,1843-02-13
e444,1846
e444,1846-10-06
e445,1846-10-07
e446,1847-05-24
e447,1864
e448,1864-08-22
e449,1864
e450,1870
e451,1902-10
