event_id,place
Zurich_e1,"Oerlikon, Zurich, Switzerland"
Zurich_e1,"Albisrieden, Zurich, Switzerland"
Zurich_e1,"Altstetten, Zurich, Switzerland"
Zurich_e1,"Schlieren, Switzerland"
Zurich_e2,"Schlieren, Switzerland"
Zurich_e3,"Dietikon, Switzerland"
Zurich_e4,"Zurich, Switzerland"
Zurich_e5,"Zurich, Switzerland"
Zurich_e5,"Chur, Switzerland"
Zurich_e5,"Arlberg, Austria"
Zurich_e6,"Zurich, Switzerland"
Zurich_e6,"Baden, Switzerland"
Zurich_e6,Western Switzerland
Zurich_e6,"Basel, Switzerland"
Zurich_e7,"Zurich, Switzerland"
Zurich_e7,"Affoltern am Albis, Switzerland"
Zurich_e8,"Zurich, Switzerland"
Zurich_e8,"Schaffhausen, Switzerland"
Zurich_e8,"Romanshorn, Switzerland"
Zurich_e8,"St. Gallen, Switzerland"
Zurich_e8,"Glatt Valley, Switzerland"
Zurich_e9,"Zurich, Switzerland"
Zurich_e9,"Sihl Valley, Switzerland"
Zurich_e9,"Limmat Valley, Switzerland"
Zurich_e9,"Weiningen, Switzerland"
Zurich_e9,Zurich-Hoengg
Zurich_e9,Zurich-Oerlikon-Seebach
Zurich_e9,"Uetliberg, Zurich, Switzerland"
Zurich_e10,"Zurich, Switzerland"
Zurich_e11,"Limmat River, Switzerland"
Zurich_e11,"Hoengg, Zurich, Switzerland"
Zurich_e11,"Zurich, Switzerland"
Zurich_e12,"Zurich, Switzerland"
Zurich_e12,"Uetliberg, Zurich, Switzerland"
Zurich_e13,"Baldern, Zurich, Switzerland"
Zurich_e13,"Leimbach, Zurich, Switzerland"
Zurich_e13,"Sihl River, Switzerland"
Zurich_e13,"Etlisberg, Zurich, Switzerland"
Zurich_e13,"Wollishofen, Zurich, Switzerland"
Zurich_e13,"Mönchhof, Zurich, Switzerland"
Zurich_e13,"Lake Zurich, Switzerland"
Zurich_e14,Burghölzli psychiatric hospital
Zurich_e14,"Realp, Uri, Switzerland"
Zurich_e14,Wehrenbach
Zurich_e14,Elefantenbach
Zurich_e14,"Loorenkopf, Zurich, Switzerland"
