event_id,type
e1,culture
e2,administration
e3,historical_background
e4,construction
e5,administration
e6,administration
e7,historical_background
e8,demography
e9,demography
e10,demography
e11,demography
e12,historical_background
e13,administration
e14,administration
e15,administration
e16,culture
e17,economy
e18,religion
e19,social
e20,settlement
e21,settlement
e22,culture
e23,transport
e24,settlement
e25,settlement
e26,climate_environment
e27,archaeology
e28,archaeology
e29,archaeology
e30,settlement
e31,climate_environment
e32,migration
e33,archaeology
e34,settlement
e35,settlement
e36,military
e37,administration
e38,infrastructure
e39,settlement
e40,settlement
e41,infrastructure
e42,religion
e43,economy
e44,settlement
e45,military
e46,construction
e47,construction
e48,politics
e49,settlement
e50,economy
e51,infrastructure
e52,economy
e53,economy
e54,historical_background
e55,settlement
e56,settlement
e57,military
e58,settlement
e59,settlement
e60,construction
e61,construction
e62,administration
e63,religion
e64,construction
e65,construction
e66,religion
e67,construction
e68,construction
e69,construction
e70,administration
e71,construction
e72,religion
e73,religion
e74,religion
e75,archaeology
e76,archaeology
e77,religion
e78,religion
e79,politics
e80,construction
e81,religion
e82,politics
e83,military
e84,construction
e85,settlement
e86,construction
e87,religion
e88,settlement
e89,settlement
e90,economy
e91,climate_environment
e92,settlement
e93,settlement
e94,construction
e95,construction
e96,migration
e97,politics
e98,law_governance
e99,religion
e100,politics
e101,politics
e102,administration
e103,religion
e104,economy
e105,administration
e106,politics
e107,politics
e108,religion
e109,politics
e110,politics
e111,politics
e112,politics
e113,law_governance
e114,law_governance
e115,law_governance
e116,law_governance
e117,law_governance
e118,politics
e119,politics
e120,law_governance
e121,politics
e122,politics
e123,social
e124,military
e125,military
e126,construction
e127,politics
e128,administration
e129,law_governance
e130,law_governance
e131,politics
e132,politics
e133,politics
e134,law_governance
e135,economy
e136,administration
e137,law_governance
e138,construction
e139,land_use
e140,settlement
e141,construction
e142,politics
e143,politics
e144,construction
e145,culture
e146,law_governance
e147,law_governance
e148,politics
e149,politics
e150,politics
e151,politics
e152,politics
e153,politics
e154,politics
e155,military
e156,law_governance
e157,law_governance
e158,politics
e159,politics
e160,politics
e161,politics
e162,administration
e163,administration
e164,administration
e165,administration
e166,administration
e167,administration
e168,administration
e169,social
e170,religion
e171,culture
e172,culture
e173,politics
e174,law_governance
e175,administration
e176,administration
e177,administration
e178,law_governance
e179,economy
e180,military
e181,military
e182,military
e183,military
e184,law_governance
e185,religion
e186,religion
e187,religion
e188,politics
e189,construction
e190,culture
e191,religion
e192,religion
e193,religion
e194,religion
e195,religion
e196,administration
e197,historical_background
e198,historical_background
e199,historical_background
e200,settlement
e201,settlement
e202,social
e203,religion
e204,religion
e205,religion
e206,religion
e207,religion
e208,religion
e209,religion
e210,religion
e211,religion
e212,religion
e213,religion
e214,migration
e215,social
e216,migration
e217,construction
e218,religion
e219,religion
e220,religion
e221,economy
e222,religion
e223,religion
e224,religion
e225,construction
e226,demography
e227,demography
e228,demography
e229,demography
e230,demography
e231,demography
e232,demography
e233,demography
e234,demography
e235,demography
e236,demography
e237,settlement
e238,economy
e239,economy
e240,economy
e241,economy
e242,economy
e243,economy
e244,economy
e245,economy
e246,culture
e247,economy
e248,economy
e249,economy
e250,culture
e251,law_governance
e252,social
e253,economy
e254,social
e255,economy
e256,economy
e257,economy
e258,law_governance
e259,economy
e260,economy
e261,law_governance
e262,economy
e263,economy
e264,economy
e265,economy
e266,economy
e267,economy
e268,economy
e269,economy
e270,economy
e271,social
e272,administration
e273,construction
e274,infrastructure
e275,public_health
e276,infrastructure
e277,administration
e278,social
e279,social
e280,social
e281,administration
e282,administration
e283,administration
e284,administration
e285,administration
e286,social
e287,administration
e288,administration
e289,politics
e290,administration
e291,administration
e292,administration
e293,infrastructure
e294,politics
e295,economy
e296,politics
e297,politics
e298,law_governance
e299,law_governance
e300,law_governance
e301,administration
e302,administration
e303,administration
e304,politics
e305,demography
e306,administration
e307,politics
e308,politics
e309,administration
e310,demography
e311,administration
e312,administration
e313,culture
e314,administration
e315,social
e316,administration
e317,administration
e318,administration
e319,administration
e320,law_governance
e321,politics
e322,politics
e323,politics
e324,politics
e325,politics
e326,politics
e327,politics
e328,law_governance
e329,law_governance
e330,economy
e331,law_governance
e332,politics
e333,politics
e334,economy
e335,economy
e336,economy
e337,economy
e338,economy
e339,administration
e340,administration
e341,infrastructure
e342,infrastructure
e343,religion
e344,construction
e345,politics
e346,construction
e347,historical_background
e348,politics
e349,social
e350,infrastructure
e351,construction
e352,land_use
e353,politics
e354,settlement
e355,education
e356,settlement
e357,religion
e358,infrastructure
e359,infrastructure
e360,infrastructure
e361,economy
e362,settlement
e363,settlement
e364,economy
e365,economy
e366,transport
e367,transport
e368,culture
e369,culture
e370,demography
e371,demography
e372,demography
e373,demography
e374,demography
e375,demography
e376,settlement
e377,settlement
e378,administration
e379,demography
e380,demography
e381,demography
e382,economy
e383,economy
e384,economy
e385,economy
e386,social
e387,settlement
e388,settlement
e389,settlement
e390,construction
e391,construction
e392,construction
e393,construction
e394,politics
e395,transport
e396,other
e397,culture
e398,culture
e399,culture
e400,demography
e401,culture
e402,construction
e403,culture
e404,culture
e405,culture
e406,culture
e407,culture
e408,culture
e409,culture
e410,culture
e411,culture
e412,construction
e413,settlement
e414,culture
e415,demography
e416,social
e417,other
