place_id,name,location_raw,location_normalized
place_zurich_switzerland,"Zurich, Switzerland",Zurich,"Zurich, Switzerland"
place_oerlikon_zurich_switzerland,"Oerlikon, Zurich, Switzerland",Oerlikon,"Oerlikon, Zurich, Switzerland"
place_albisrieden_zurich_switzerland,"Albisrieden, Zurich, Switzerland",Albisrieden,"Albisrieden, Zurich, Switzerland"
place_altstetten_zurich_switzerland,"Altstetten, Zurich, Switzerland",Altstetten,"Altstetten, Zurich, Switzerland"
place_schlieren_zurich_switzerland,"Schlieren, Zurich, Switzerland",Schlieren,"Schlieren, Zurich, Switzerland"
place_dietikon_zurich_switzerland,"Dietikon, Zurich, Switzerland",Dietikon,"Dietikon, Zurich, Switzerland"
place_chur_switzerland,"Chur, Switzerland",Chur,"Chur, Switzerland"
place_arlberg_austria,"Arlberg, Austria",Arlberg,"Arlberg, Austria"
place_baden_switzerland,"Baden, Switzerland",Baden,"Baden, Switzerland"
place_basel_switzerland,"Basel, Switzerland",Basel,"Basel, Switzerland"
place_affoltern_zug,Affoltern-Zug,Affoltern-Zug,
place_schaffhausen_switzerland,"Schaffhausen, Switzerland",Schaffhausen,"Schaffhausen, Switzerland"
place_romanshorn_switzerland,"Romanshorn, Switzerland",Romanshorn,"Romanshorn, Switzerland"
place_st_gallen_switzerland,"St. Gallen, Switzerland",St. Gallen,"St. Gallen, Switzerland"
place_glatt_valley,Glatt valley,Glatt valley,
place_sihl_valley_railway,Sihl Valley Railway,Sihl Valley Railway,
place_limmat_valley_tramway,Limmat Valley tramway,Limmat Valley tramway,
place_weiningen_switzerland,"Weiningen, Switzerland",Weiningen,"Weiningen, Switzerland"
place_zurich_hoengg,Zurich-Hoengg,Zurich-Hoengg,
place_zurich_oerlikon_seebach,Zurich-Oerlikon-Seebach,Zurich-Oerlikon-Seebach,
place_uetliberg_zurich_switzerland,"Uetliberg, Zurich, Switzerland",Uetliberg,"Uetliberg, Zurich, Switzerland"
place_zurichberg_zurich_switzerland,"Zurichberg, Zurich, Switzerland",Zurichberg,"Zurichberg, Zurich, Switzerland"
place_limmat_switzerland,"Limmat, Switzerland",Limmat,"Limmat, Switzerland"
place_baldern_zurich_switzerland,"Baldern, Zurich, Switzerland",Baldern,"Baldern, Zurich, Switzerland"
place_leimbach_zurich_switzerland,"Leimbach, Zurich, Switzerland",former municipality of Leimbach,"Leimbach, Zurich, Switzerland"
place_sihl_river_zurich_switzerland,"Sihl River, Zurich, Switzerland",Sihl,"Sihl River, Zurich, Switzerland"
place_etlisberg_zurich_switzerland,"Etlisberg, Zurich, Switzerland",Etlisberg,"Etlisberg, Zurich, Switzerland"
place_wollishofen_zurich_switzerland,"Wollishofen, Zurich, Switzerland",Wollishofen,"Wollishofen, Zurich, Switzerland"
place_mönchhof,Mönchhof,Mönchhof,
place_lake_zurich_switzerland,"Lake Zurich, Switzerland",lake,"Lake Zurich, Switzerland"
place_burghölzli_psychiatric_hospital_zurich_switzerland,"Burghölzli Psychiatric Hospital, Zurich, Switzerland",Burghölzli psychiatric hospital,"Burghölzli Psychiatric Hospital, Zurich, Switzerland"
place_realp,Realp,Realp,
place_wehrenbach_zurich_switzerland,"Wehrenbach, Zurich, Switzerland",Wehrenbach,"Wehrenbach, Zurich, Switzerland"
place_elefantenbach_zurich_switzerland,"Elefantenbach, Zurich, Switzerland",Elefantenbach,"Elefantenbach, Zurich, Switzerland"
place_loorenkopf_zurich_switzerland,"Loorenkopf, Zurich, Switzerland",Loorenkopf,"Loorenkopf, Zurich, Switzerland"
place_glatt_valley_zurich_switzerland,"Glatt Valley, Zurich, Switzerland",Glatt valley,"Glatt Valley, Zurich, Switzerland"
place_käferberg_zurich_switzerland,"Käferberg, Zurich, Switzerland",Käferberg,"Käferberg, Zurich, Switzerland"
place_milchbuck_zurich_switzerland,"Milchbuck, Zurich, Switzerland",Milchbuck,"Milchbuck, Zurich, Switzerland"
place_hardturm,Hardturm,Hardturm,
place_hoengger_bridge,Hoengger bridge,Hoengger bridge,
place_triemli,Triemli,Triemli,
place_döltschi,Döltschi,Döltschi,
place_uto,Uto,Uto,
place_hotel_uetliberg,Hotel Uetliberg,Hotel Uetliberg,
place_enge_zurich_switzerland,"Enge, Zurich, Switzerland",Enge,"Enge, Zurich, Switzerland"
place_wiedikon_zurich_switzerland,"Wiedikon, Zurich, Switzerland",Wiedikon,"Wiedikon, Zurich, Switzerland"
place_aussersihl_zurich_switzerland,"Aussersihl, Zurich, Switzerland",Aussersihl,"Aussersihl, Zurich, Switzerland"
place_wipkingen_zurich_switzerland,"Wipkingen, Zurich, Switzerland",Wipkingen,"Wipkingen, Zurich, Switzerland"
place_unterstrass_zurich_switzerland,"Unterstrass, Zurich, Switzerland",Unterstrass,"Unterstrass, Zurich, Switzerland"
place_oberstrass_zurich_switzerland,"Oberstrass, Zurich, Switzerland",Oberstrass,"Oberstrass, Zurich, Switzerland"
place_fluntern_zurich_switzerland,"Fluntern, Zurich, Switzerland",Fluntern,"Fluntern, Zurich, Switzerland"
place_hottingen_zurich_switzerland,"Hottingen, Zurich, Switzerland",Hottingen,"Hottingen, Zurich, Switzerland"
place_hirslanden_zurich_switzerland,"Hirslanden, Zurich, Switzerland",Hirslanden,"Hirslanden, Zurich, Switzerland"
place_riesbach_zurich_switzerland,"Riesbach, Zurich, Switzerland",Riesbach,"Riesbach, Zurich, Switzerland"
place_zurichhorn_zurich_switzerland,"Zurichhorn, Zurich, Switzerland",Zurichhorn,"Zurichhorn, Zurich, Switzerland"
place_hornbach,Hornbach,Hornbach,
place_belvoirpark_zurich_switzerland,"Belvoirpark, Zurich, Switzerland",Belvoirpark,"Belvoirpark, Zurich, Switzerland"
place_hirslanderberg,Hirslanderberg,Hirslanderberg,
place_rigiquartier,Rigiquartier,Rigiquartier,
place_the_lake,the lake,the lake,
place_sihl_zurich_switzerland,"Sihl, Zurich, Switzerland",the Sihl,"Sihl, Zurich, Switzerland"
place_grossmünster_zurich_switzerland,"Grossmünster, Zurich, Switzerland",Grossmünster towers,"Grossmünster, Zurich, Switzerland"
place_fraumünster_zurich_switzerland,"Fraumünster, Zurich, Switzerland",Fraumünster spire,"Fraumünster, Zurich, Switzerland"
place_tonhalle_zurich_switzerland,"Tonhalle, Zurich, Switzerland",Tonhalle,"Tonhalle, Zurich, Switzerland"
place_red_and_white_castles,Red and White Castles,Red and White Castles,
place_rentenanstalt_zurich_switzerland,"Rentenanstalt, Zurich, Switzerland",Rentenanstalt,"Rentenanstalt, Zurich, Switzerland"
place_unfall_zürich_zurich_switzerland,"Unfall Zürich, Zurich, Switzerland",Unfall Zürich,"Unfall Zürich, Zurich, Switzerland"
place_city_theatre,city theatre,city theatre,
place_uetliberg_castle_zurich_switzerland,"Uetliberg Castle, Zurich, Switzerland",Uto castle,"Uetliberg Castle, Zurich, Switzerland"
place_limmat_zurich_switzerland,"Limmat, Zurich, Switzerland",Limmat,"Limmat, Zurich, Switzerland"
place_quaibrücke_zurich_switzerland,"Quaibrücke, Zurich, Switzerland",Quaibrücke,"Quaibrücke, Zurich, Switzerland"
place_st_peter_s_church_zurich_switzerland,"St. Peter's Church, Zurich, Switzerland",St. Peter's tower,"St. Peter's Church, Zurich, Switzerland"
place_urania_sternwarte_zurich_switzerland,"Urania Sternwarte, Zurich, Switzerland",Urania tower,"Urania Sternwarte, Zurich, Switzerland"
place_lakeside_edge,lakeside edge,lakeside edge,
place_lake,lake,lake,
place_both_lake_shores,both lake shores,both lake shores,
place_the_valley,the valley,the valley,
place_the_moraine_ridge,the moraine ridge,the moraine ridge,
place_the_higher_mountains_east_and_west,the higher mountains east and west,the higher mountains east and west,
place_baden_aargau_switzerland,"Baden, Aargau, Switzerland",Baden,"Baden, Aargau, Switzerland"
place_winterthur_switzerland,"Winterthur, Switzerland",Winterthur,"Winterthur, Switzerland"
place_romanshorn_frauenfeld,Romanshorn-Frauenfeld,Romanshorn-Frauenfeld,
