id,raw,value,min,max,unit,type
q1,11½° W,11.5,,,degrees west,other
q2,470 m,470,,,m,elevation
q3,408.6 m,408.6,,,m,elevation
q4,400 m,400,,,m,elevation
q5,6 km,6,,,km,distance
q6,1.5‰,0.0015,,,per mille,other
q7,874 m,874,,,m,elevation
q8,44.17 km^2,44.17,,,km^2,area
q9,165 m,165,,,m,distance
q10,four,4,,,,count
q11,meter-deep,1,1,,meter,other
q12,1400 seats,1400,,,seats,count
q13,about twenty,20,,,,count
q14,three,3,,,,count
q15,450 seats,450,,,seats,count
q16,39,39,,,,count
q17,55,55,,,students,count
q18,35,35,,,students,count
q19,7×10–11 meters,,70,77,square meters,area
q20,7×9 meters,63,,,square meters,area
q21,"42,000 Fr.",42000,,,Fr.,money
q22,770 Fr.,770,,,Fr.,money
q23,25.73 Fr.,25.73,,,Fr.,money
q24,9,9,,,,count
q25,two storeys,2,,,storeys,other
q26,more than half,,,,,percentage
q27,one floor,1,,,floor,other
q28,"150,703",150703,,,,count
q29,"30,891",30891,,,,count
q30,about 2/10,0.2,,,fraction,percentage
q31,"30,864",30864,,,,count
q32,"45,187",45187,,,,count
q33,3/10,0.3,,,fraction,percentage
q34,"106,942",106942,,,,count
q35,7/10,0.7,,,fraction,percentage
q36,"43,761",43761,,,,count
q37,3/10,0.3,,,fraction,percentage
q38,"102,794",102794,,,,count
q39,"43,655",43655,,,,count
q40,"2,713",2713,,,,count
q41,"1,541",1541,,,,count
q42,"140,803",140803,,,,count
q43,"2,586",2586,,,,count
q44,"5,100",5100,,,,count
q45,415,415,,,,count
q46,"1,799",1799,,,,count
q47,47.5%,47.5,,,%,percentage
q48,52.5%,52.5,,,%,percentage
q49,"172,855",172855,,,,count
q50,"177,437",177437,,,,count
q51,"180,224",180224,,,,count
q52,"1,000 to 2,000",,1000,2000,,count
q53,"4,582 persons",4582,,,persons,count
q54,2.65%,2.65,,,%,percentage
q55,"about 200,000",200000,,,,count
q56,"4,921",4921,,,,count
q57,"2,357",2357,,,,count
q58,"2,564",2564,,,,count
q59,99,99,,,,count
q60,96,96,,,,count
q61,"2,710",2710,,,,count
q62,"1,323",1323,,,,count
q63,"1,387",1387,,,,count
q64,"1,674",1674,,,,count
q65,212,212,,,,count
q66,"1,397",1397,,,,count
q67,931,931,,,,count
q68,466,466,,,,count
q69,829,829,,,,count
q70,129,129,,,,count
q71,439,439,,,,count
