quantity_id,type
q1,other
q2,elevation
q3,elevation
q4,elevation
q5,distance
q6,other
q7,elevation
q8,area
q9,distance
q10,count
q11,other
q12,count
q13,count
q14,count
q15,count
q16,count
q17,count
q18,count
q19,area
q20,area
q21,money
q22,money
q23,money
q24,count
q25,other
q26,percentage
q27,other
q28,count
q29,count
q30,percentage
q31,count
q32,count
q33,percentage
q34,count
q35,percentage
q36,count
q37,percentage
q38,count
q39,count
q40,count
q41,count
q42,count
q43,count
q44,count
q45,count
q46,count
q47,percentage
q48,percentage
q49,count
q50,count
q51,count
q52,count
q53,count
q54,percentage
q55,count
q56,count
q57,count
q58,count
q59,count
q60,count
q61,count
q62,count
q63,count
q64,count
q65,count
q66,count
q67,count
q68,count
q69,count
q70,count
q71,count
q72,count
q73,count
q74,percentage
q75,count
q76,count
q77,percentage
q78,percentage
q79,percentage
q80,count
q81,count
q82,money
q83,count
q84,money
q85,count
q86,money
q87,count
q88,money
q89,count
q90,count
q91,count
q92,count
q93,count
q94,count
q95,count
q96,count
q97,count
q98,count
q99,count
q100,count
q101,percentage
q102,percentage
q103,count
q104,count
q105,count
q106,count
q107,count
q108,count
q109,count
q110,count
q111,count
q112,count
q113,count
q114,count
q115,count
q116,percentage
q117,count
q118,percentage
q119,count
q120,count
q121,percentage
q122,count
q123,count
q124,percentage
q125,count
q126,count
q127,percentage
q128,percentage
q129,percentage
q130,percentage
q131,percentage
q132,percentage
q133,percentage
q134,percentage
q135,percentage
q136,distance
q137,percentage
q138,distance
q139,percentage
q140,distance
q141,percentage
q142,distance
q143,money
q144,count
q145,count
q146,money
q147,count
q148,count
q149,distance
q150,other
q151,count
q152,distance
q153,percentage
q154,percentage
q155,money
q156,count
q157,elevation
q158,elevation
q159,elevation
q160,elevation
q161,elevation
q162,elevation
q163,other
q164,other
q165,other
q166,area
q167,other
q168,area
q169,other
q170,other
q171,other
q172,count
q173,count
q174,count
q175,count
q176,count
q177,area
q178,count
q179,distance
q180,area
q181,count
q182,count
q183,area
q184,count
q185,count
q186,count
q187,money
q188,count
q189,count
q190,count
q191,count
q192,count
q193,count
q194,count
q195,count
q196,count
q197,count
q198,other
q199,other
q200,other
q201,other
q202,other
q203,money
q204,money
q205,money
q206,money
q207,money
q208,money
q209,money
q210,percentage
q211,percentage
q212,count
q213,money
q214,count
q215,count
q216,count
q217,count
q218,percentage
q219,count
q220,money
q221,count
q222,money
q223,count
q224,money
q225,count
q226,money
q227,count
q228,count
q229,count
q230,count
q231,count
q232,other
q233,count
q234,count
q235,count
q236,count
q237,count
q238,count
q239,count
q240,count
q241,count
q242,count
q243,count
q244,count
q245,money
q246,money
q247,count
q248,count
q249,other
q250,other
q251,distance
q252,other
q253,other
q254,other
q255,other
q256,other
q257,elevation
q258,distance
q259,elevation
q260,other
q261,other
q262,other
q263,count
q264,count
q265,count
q266,count
q267,count
q268,count
q269,other
q270,other
q271,elevation
q272,other
q273,other
q274,distance
q275,distance
q276,distance
q277,distance
q278,distance
q279,distance
q280,other
q281,elevation
q282,elevation
q283,other
q284,money
q285,percentage
q286,other
q287,other
q288,count
q289,other
q290,other
q291,other
q292,percentage
q293,percentage
q294,percentage
q295,percentage
q296,other
q297,other
q298,money
q299,money
q300,percentage
q301,distance
q302,distance
q303,distance
q304,distance
q305,count
q306,count
q307,count
q308,count
q309,count
q310,count
q311,count
q312,count
q313,count
q314,count
q315,count
q316,count
q317,count
q318,count
q319,count
q320,count
q321,count
q322,count
q323,count
q324,count
q325,count
q326,count
q327,count
q328,count
q329,count
q330,count
q331,count
q332,percentage
q333,count
q334,percentage
q335,percentage
q336,count
q337,count
q338,count
q339,count
q340,count
q341,other
q342,other
q343,duration
q344,count
q345,count
q346,distance
q347,distance
q348,count
q349,count
q350,count
q351,count
q352,count
q353,other
q354,count
q355,other
q356,other
q357,percentage
q358,other
q359,count
q360,count
q361,count
q362,count
q363,count
q364,count
q365,count
q366,count
q367,count
q368,count
q369,count
q370,count
q371,count
q372,count
q373,count
q374,count
q375,count
q376,count
q377,count
q378,count
q379,count
q380,count
q381,count
q382,count
q383,count
q384,count
q385,count
q386,count
q387,count
q388,count
q389,count
q390,count
q391,count
q392,count
q393,count
q394,count
q395,count
q396,count
q397,count
q398,count
q399,count
q400,count
q401,count
q402,count
q403,count
q404,count
q405,count
q406,count
q407,count
q408,count
q409,money
q410,money
q411,count
q412,count
q413,money
q414,money
q415,duration
q416,count
q417,count
q418,count
q419,count
q420,count
q421,count
q422,count
q423,money
q424,money
q425,money
q426,money
q427,money
q428,money
q429,money
q430,money
q431,money
q432,money
q433,money
q434,money
q435,money
q436,money
q437,money
q438,money
q439,money
q440,money
q441,money
q442,money
q443,money
q444,money
q445,money
q446,money
q447,money
q448,money
q449,money
q450,money
q451,money
q452,money
q453,money
q454,money
q455,money
q456,money
q457,money
q458,money
q459,money
q460,money
q461,money
q462,money
q463,money
q464,money
q465,money
q466,money
q467,money
q468,money
q469,money
q470,money
q471,money
q472,money
q473,count
q474,money
q475,money
q476,count
q477,count
q478,count
q479,count
q480,money
q481,money
q482,duration
q483,money
q484,money
q485,duration
q486,money
q487,money
q488,count
q489,count
q490,count
q491,count
q492,count
q493,count
q494,count
q495,count
q496,elevation
q497,distance
q498,elevation
q499,elevation
q500,elevation
q501,other
q502,other
q503,other
q504,count
q505,count
q506,other
q507,other
q508,count
q509,other
q510,count
q511,count
q512,count
q513,count
q514,count
q515,count
q516,count
q517,count
q518,count
q519,count
q520,count
q521,count
q522,count
q523,count
q524,count
q525,count
q526,count
q527,count
q528,count
q529,count
q530,count
q531,count
q532,count
q533,count
q534,count
q535,count
q536,count
q537,count
q538,count
q539,count
q540,count
q541,money
q542,count
q543,money
q544,count
q545,money
q546,count
q547,money
q548,count
q549,count
q550,count
q551,other
q552,count
q553,count
q554,other
q555,count
q556,count
q557,other
q558,count
q559,count
q560,count
q561,count
q562,other
q563,count
q564,count
q565,count
q566,other
q567,count
q568,count
q569,count
q570,other
q571,count
q572,count
q573,count
q574,other
q575,count
q576,count
q577,other
q578,other
q579,count
q580,count
q581,other
q582,other
q583,count
q584,count
q585,count
q586,count
q587,count
q588,count
q589,count
q590,count
q591,count
q592,count
q593,count
q594,count
q595,other
q596,other
q597,count
q598,count
q599,other
q600,other
q601,other
q602,other
q603,count
q604,count
q605,other
q606,elevation
q607,elevation
q608,elevation
q609,distance
q610,other
q611,elevation
q612,other
q613,count
q614,count
q615,count
q616,duration
q617,count
q618,duration
q619,count
q620,count
q621,count
q622,count
q623,count
q624,count
q625,count
q626,count
q627,count
q628,count
q629,count
q630,count
q631,percentage
q632,percentage
q633,percentage
q634,percentage
q635,area
q636,count
q637,count
q638,count
q639,count
q640,count
q641,count
q642,count
q643,count
q644,count
q645,count
q646,count
q647,count
q648,percentage
q649,percentage
q650,percentage
q651,count
q652,count
q653,count
q654,count
q655,count
q656,count
q657,count
q658,count
q659,count
q660,count
q661,count
q662,count
q663,count
q664,count
q665,count
q666,count
q667,count
q668,count
q669,count
q670,count
q671,count
q672,count
q673,count
q674,count
q675,percentage
q676,percentage
q677,percentage
q678,percentage
q679,percentage
q680,percentage
q681,percentage
q682,percentage
q683,percentage
q684,percentage
q685,count
q686,count
q687,count
q688,count
q689,count
q690,count
q691,count
q692,count
q693,count
q694,count
q695,count
q696,count
q697,count
q698,count
q699,count
q700,count
q701,count
q702,count
q703,count
q704,count
q705,count
q706,count
q707,count
q708,count
q709,count
q710,count
q711,count
q712,count
q713,count
q714,count
q715,count
q716,count
q717,count
q718,count
q719,count
q720,count
q721,count
q722,count
q723,count
q724,count
q725,count
q726,count
q727,count
q728,count
q729,count
q730,count
q731,count
q732,count
q733,count
q734,count
q735,count
q736,count
q737,count
q738,count
q739,count
q740,count
q741,count
q742,count
q743,count
q744,count
q745,count
q746,count
q747,count
q748,count
q749,count
q750,count
q751,count
q752,count
q753,count
q754,count
q755,count
q756,count
q757,count
q758,count
q759,count
q760,count
q761,count
q762,count
q763,count
q764,count
q765,count
q766,count
